config,target,blocksize,iteration,bandwidth
17,cpu,32768,4,-1
17,cpu,65536,0,-1
17,cpu,65536,1,-1
17,cpu,65536,2,-1
17,cpu,65536,3,-1
17,cpu,65536,4,-1
17,cpu,131072,0,-1
17,cpu,131072,1,-1
17,cpu,131072,2,-1
17,cpu,131072,3,-1
17,cpu,131072,4,-1
19,virtio,512,0,11.9
19,virtio,512,1,11.6
19,virtio,512,2,11.1
19,virtio,512,3,10.6
19,virtio,512,4,10.9
19,virtio,1024,0,24.3
19,virtio,1024,1,24.3
19,virtio,1024,2,20.2
19,virtio,1024,3,19.7
19,virtio,1024,4,20.4
19,virtio,4096,0,71.0
19,virtio,4096,1,77.3
19,virtio,4096,2,84.5
19,virtio,4096,3,97.8
19,virtio,4096,4,82.5
19,virtio,8192,0,127
19,virtio,8192,1,139
19,virtio,8192,2,138
19,virtio,8192,3,153
19,virtio,8192,4,143
19,virtio,16384,0,269
19,virtio,16384,1,275
19,virtio,16384,2,262
19,virtio,16384,3,276
19,virtio,16384,4,260
19,virtio,32768,0,331
19,virtio,32768,1,382
19,virtio,32768,2,416
19,virtio,32768,3,455
19,virtio,32768,4,319
19,virtio,65536,0,475
19,virtio,65536,1,544
19,virtio,65536,2,597
19,virtio,65536,3,691
19,virtio,65536,4,630
19,virtio,131072,0,617
19,virtio,131072,1,719
19,virtio,131072,2,537
19,virtio,131072,3,548
19,virtio,131072,4,618
19,p9ufs,512,0,3.7
19,p9ufs,512,1,3.4
19,p9ufs,512,2,3.5
19,p9ufs,512,3,3.4
19,p9ufs,512,4,3.4
19,p9ufs,1024,0,7.1
19,p9ufs,1024,1,7.3
19,p9ufs,1024,2,7.8
19,p9ufs,1024,3,7.8
19,p9ufs,1024,4,7.8
19,p9ufs,4096,0,26.7
19,p9ufs,4096,1,26.6
19,p9ufs,4096,2,26.7
19,p9ufs,4096,3,26.9
19,p9ufs,4096,4,26.4
19,p9ufs,8192,0,26.7
19,p9ufs,8192,1,28.2
19,p9ufs,8192,2,28.4
19,p9ufs,8192,3,26.9
19,p9ufs,8192,4,26.2
19,p9ufs,16384,0,26.3
19,p9ufs,16384,1,26.9
19,p9ufs,16384,2,27.2
19,p9ufs,16384,3,27.0
19,p9ufs,16384,4,28.5
19,p9ufs,32768,0,28.2
19,p9ufs,32768,1,27.5
19,p9ufs,32768,2,28.1
19,p9ufs,32768,3,28.8
19,p9ufs,32768,4,30.3
19,p9ufs,65536,0,29.2
19,p9ufs,65536,1,29.3
19,p9ufs,65536,2,29.5
19,p9ufs,65536,3,29.4
19,p9ufs,65536,4,29.2
19,p9ufs,131072,0,29.4
19,p9ufs,131072,1,29.4
19,p9ufs,131072,2,29.6
19,p9ufs,131072,3,29.3
19,p9ufs,131072,4,29.5
23,cpu,512,0,-1
23,cpu,512,1,-1
23,cpu,512,2,-1
23,cpu,512,3,-1
23,cpu,512,4,-1
23,cpu,1024,0,-1
23,cpu,1024,1,-1
23,cpu,1024,2,-1
23,cpu,1024,3,-1
23,cpu,1024,4,-1
23,cpu,4096,0,-1
23,cpu,4096,1,-1
23,cpu,4096,2,-1
23,cpu,4096,3,-1
23,cpu,4096,4,-1
23,cpu,8192,0,-1
23,cpu,8192,1,-1
23,cpu,8192,2,-1
23,cpu,8192,3,-1
23,cpu,8192,4,-1
23,cpu,16384,0,-1
23,cpu,16384,1,-1
23,cpu,16384,2,-1
23,cpu,16384,3,-1
23,cpu,16384,4,-1
23,cpu,32768,0,-1
23,cpu,32768,1,-1
23,cpu,32768,2,-1
23,cpu,32768,3,-1
23,cpu,32768,4,-1
23,cpu,65536,0,-1
23,cpu,65536,1,-1
23,cpu,65536,2,-1
23,cpu,65536,3,-1
23,cpu,65536,4,-1
23,cpu,131072,0,-1
23,cpu,131072,1,-1
23,cpu,131072,2,-1
23,cpu,131072,3,-1
23,cpu,131072,4,-1
24,cpu,512,0,1.6
24,cpu,512,1,1.7
24,cpu,512,2,1.7
24,cpu,512,3,1.7
24,cpu,512,4,1.7
24,cpu,1024,0,3.3
24,cpu,1024,1,3.4
24,cpu,1024,2,3.3
24,cpu,1024,3,3.3
24,cpu,1024,4,3.3
24,cpu,4096,0,11.3
24,cpu,4096,1,11.9
24,cpu,4096,2,12.0
24,cpu,4096,3,12.0
24,cpu,4096,4,11.9
24,cpu,8192,0,12.1
24,cpu,8192,1,11.7
24,cpu,8192,2,12.1
24,cpu,8192,3,12.2
24,cpu,8192,4,11.9
24,cpu,16384,0,12.2
24,cpu,16384,1,12.3
24,cpu,16384,2,12.2
24,cpu,16384,3,12.4
24,cpu,16384,4,12.1
24,cpu,32768,0,12.2
24,cpu,32768,1,12.3
24,cpu,32768,2,12.4
24,cpu,32768,3,12.4
24,cpu,32768,4,12.5
24,cpu,65536,0,12.4
24,cpu,65536,1,12.6
24,cpu,65536,2,12.6
24,cpu,65536,3,12.7
24,cpu,65536,4,12.5
24,cpu,131072,0,12.5
24,cpu,131072,1,12.5
24,cpu,131072,2,12.7
24,cpu,131072,3,12.5
24,cpu,131072,4,12.5
25,virtio,512,0,14.7
25,virtio,512,1,13.3
25,virtio,512,2,14.5
25,virtio,512,3,14.9
25,virtio,512,4,14.7
25,virtio,1024,0,29.1
25,virtio,1024,1,25.2
25,virtio,1024,2,27.7
25,virtio,1024,3,29.2
25,virtio,1024,4,27.1
25,virtio,4096,0,83.5
25,virtio,4096,1,91.1
25,virtio,4096,2,90.7
25,virtio,4096,3,82.6
25,virtio,4096,4,89.9
25,virtio,8192,0,188
25,virtio,8192,1,196
25,virtio,8192,2,156
25,virtio,8192,3,192
25,virtio,8192,4,158
25,virtio,16384,0,291
25,virtio,16384,1,249
25,virtio,16384,2,271
25,virtio,16384,3,354
25,virtio,16384,4,317
25,virtio,32768,0,403
25,virtio,32768,1,452
25,virtio,32768,2,440
25,virtio,32768,3,473
25,virtio,32768,4,385
25,virtio,65536,0,597
25,virtio,65536,1,617
25,virtio,65536,2,613
25,virtio,65536,3,632
25,virtio,65536,4,607
25,virtio,131072,0,633
25,virtio,131072,1,633
25,virtio,131072,2,631
25,virtio,131072,3,683
25,virtio,131072,4,688
25,p9ufs,512,0,3.9
25,p9ufs,512,1,4.1
25,p9ufs,512,2,4.2
25,p9ufs,512,3,4.1
25,p9ufs,512,4,4.1
25,p9ufs,1024,0,8.4
25,p9ufs,1024,1,8.1
25,p9ufs,1024,2,7.7
25,p9ufs,1024,3,8.0
25,p9ufs,1024,4,8.3
25,p9ufs,4096,0,29.8
25,p9ufs,4096,1,30.0
25,p9ufs,4096,2,30.2
25,p9ufs,4096,3,29.6
25,p9ufs,4096,4,29.7
25,p9ufs,8192,0,29.9
25,p9ufs,8192,1,29.6
25,p9ufs,8192,2,30.3
25,p9ufs,8192,3,30.0
25,p9ufs,8192,4,30.0
25,p9ufs,16384,0,30.5
25,p9ufs,16384,1,29.9
25,p9ufs,16384,2,28.0
25,p9ufs,16384,3,30.6
25,p9ufs,16384,4,30.7
25,p9ufs,32768,0,31.1
25,p9ufs,32768,1,30.8
25,p9ufs,32768,2,31.1
25,p9ufs,32768,3,31.2
25,p9ufs,32768,4,30.9
25,p9ufs,65536,0,29.8
25,p9ufs,65536,1,30.7
25,p9ufs,65536,2,29.1
25,p9ufs,65536,3,28.0
25,p9ufs,65536,4,28.9
25,p9ufs,131072,0,30.0
25,p9ufs,131072,1,28.6
25,p9ufs,131072,2,29.1
25,p9ufs,131072,3,29.5
25,p9ufs,131072,4,28.6
25,npfs,512,0,-1
25,npfs,512,1,-1
25,npfs,512,2,-1
25,npfs,512,3,-1
25,npfs,512,4,-1
25,npfs,1024,0,-1
25,npfs,1024,1,-1
25,npfs,1024,2,-1
25,npfs,1024,3,-1
25,npfs,1024,4,-1
25,npfs,4096,0,-1
25,npfs,4096,1,-1
25,npfs,4096,2,-1
25,npfs,4096,3,-1
25,npfs,4096,4,-1
25,npfs,8192,0,-1
25,npfs,8192,1,-1
25,npfs,8192,2,-1
25,npfs,8192,3,-1
25,npfs,8192,4,-1
25,npfs,16384,0,-1
25,npfs,16384,1,-1
25,npfs,16384,2,-1
25,npfs,16384,3,-1
25,npfs,16384,4,-1
25,npfs,32768,0,-1
25,npfs,32768,1,-1
25,npfs,32768,2,-1
25,npfs,32768,3,-1
25,npfs,32768,4,-1
25,npfs,65536,0,-1
25,npfs,65536,1,-1
25,npfs,65536,2,-1
25,npfs,65536,3,-1
25,npfs,65536,4,-1
25,npfs,131072,0,-1
25,npfs,131072,1,-1
25,npfs,131072,2,-1
25,npfs,131072,3,-1
25,npfs,131072,4,-1
25,cpu,512,0,1.7
25,cpu,512,1,1.7
25,cpu,512,2,1.7
25,cpu,512,3,1.7
25,cpu,512,4,1.7
25,cpu,1024,0,3.3
25,cpu,1024,1,3.3
25,cpu,1024,2,3.4
25,cpu,1024,3,3.4
25,cpu,1024,4,3.3
25,cpu,4096,0,11.6
25,cpu,4096,1,11.8
25,cpu,4096,2,11.8
25,cpu,4096,3,11.8
25,cpu,4096,4,11.8
25,cpu,8192,0,12.1
25,cpu,8192,1,12.1
25,cpu,8192,2,12.1
25,cpu,8192,3,12.2
25,cpu,8192,4,12.4
25,cpu,16384,0,12.3
25,cpu,16384,1,12.3
25,cpu,16384,2,12.4
25,cpu,16384,3,12.3
25,cpu,16384,4,12.5
25,cpu,32768,0,12.5
25,cpu,32768,1,12.5
25,cpu,32768,2,12.6
25,cpu,32768,3,12.7
25,cpu,32768,4,12.6
25,cpu,65536,0,12.3
25,cpu,65536,1,12.4
25,cpu,65536,2,13.0
25,cpu,65536,3,12.6
25,cpu,65536,4,12.5
25,cpu,131072,0,12.5
25,cpu,131072,1,12.6
25,cpu,131072,2,12.8
25,cpu,131072,3,12.6
25,cpu,131072,4,12.8
28,npfs,131072,0,58.6
28,npfs,131072,1,65.1
28,npfs,131072,2,66.2
28,npfs,131072,3,62.5
28,npfs,131072,4,62.7
28,npfs,65536,0,63.6
28,npfs,65536,1,73.3
28,npfs,65536,2,85.6
28,npfs,65536,3,75.9
28,npfs,65536,4,63.4
28,npfs,32768,0,67.3
28,npfs,32768,1,74.0
28,npfs,32768,2,78.9
28,npfs,32768,3,56.5
28,npfs,32768,4,64.3
28,npfs,16384,0,59.2
28,npfs,16384,1,64.2
28,npfs,16384,2,63.6
28,npfs,16384,3,63.2
28,npfs,16384,4,76.2
28,npfs,8192,0,72.2
28,npfs,8192,1,78.2
28,npfs,8192,2,75.9
28,npfs,8192,3,72.5
28,npfs,8192,4,74.0
28,npfs,4096,0,41.7
28,npfs,4096,1,40.5
28,npfs,4096,2,34.3
28,npfs,4096,3,32.9
28,npfs,4096,4,26.5
28,npfs,1024,0,6.7
28,npfs,1024,1,7.7
28,npfs,1024,2,8.3
28,npfs,1024,3,9.0
28,npfs,1024,4,8.1
28,npfs,512,0,4.2
28,npfs,512,1,3.7
28,npfs,512,2,5.0
28,npfs,512,3,3.8
28,npfs,512,4,3.8
29,npfs,131072,0,151
29,npfs,131072,1,196
29,npfs,131072,2,201
29,npfs,131072,3,201
29,npfs,131072,4,196
29,npfs,65536,0,196
29,npfs,65536,1,251
29,npfs,65536,2,186
29,npfs,65536,3,186
29,npfs,65536,4,191
29,npfs,32768,0,146
29,npfs,32768,1,181
29,npfs,32768,2,200
29,npfs,32768,3,193
29,npfs,32768,4,202
29,npfs,16384,0,119
29,npfs,16384,1,119
29,npfs,16384,2,118
29,npfs,16384,3,108
29,npfs,16384,4,93.4
29,npfs,8192,0,60.6
29,npfs,8192,1,57.2
29,npfs,8192,2,65.9
29,npfs,8192,3,55.8
29,npfs,8192,4,58.4
29,npfs,4096,0,35.1
29,npfs,4096,1,30.6
29,npfs,4096,2,34.9
29,npfs,4096,3,33.7
29,npfs,4096,4,30.9
29,npfs,1024,0,7.8
29,npfs,1024,1,7.9
29,npfs,1024,2,7.8
29,npfs,1024,3,7.6
29,npfs,1024,4,7.6
29,npfs,512,0,4.5
29,npfs,512,1,4.4
29,npfs,512,2,4.7
29,npfs,512,3,4.8
29,npfs,512,4,4.7
30,virtio,131072,0,382
30,virtio,131072,1,711
30,virtio,131072,2,759
30,virtio,131072,3,670
30,virtio,131072,4,699
30,virtio,65536,0,629
30,virtio,65536,1,648
30,virtio,65536,2,628
30,virtio,65536,3,629
30,virtio,65536,4,638
30,virtio,32768,0,503
30,virtio,32768,1,500
30,virtio,32768,2,508
30,virtio,32768,3,514
30,virtio,32768,4,508
30,virtio,16384,0,305
30,virtio,16384,1,287
30,virtio,16384,2,259
30,virtio,16384,3,226
30,virtio,16384,4,266
30,virtio,8192,0,179
30,virtio,8192,1,140
30,virtio,8192,2,145
30,virtio,8192,3,147
30,virtio,8192,4,142
30,virtio,4096,0,78.4
30,virtio,4096,1,82.7
30,virtio,4096,2,99.3
30,virtio,4096,3,98.8
30,virtio,4096,4,75.6
30,virtio,1024,0,19.4
30,virtio,1024,1,19.3
30,virtio,1024,2,19.3
30,virtio,1024,3,19.6
30,virtio,1024,4,19.4
30,virtio,512,0,11.0
30,virtio,512,1,12.5
30,virtio,512,2,11.8
30,virtio,512,3,11.2
30,virtio,512,4,11.2
30,p9ufs,131072,0,28.0
30,p9ufs,131072,1,28.1
30,p9ufs,131072,2,28.4
30,p9ufs,131072,3,27.6
30,p9ufs,131072,4,27.8
30,p9ufs,65536,0,28.2
30,p9ufs,65536,1,29.5
30,p9ufs,65536,2,29.7
30,p9ufs,65536,3,29.4
30,p9ufs,65536,4,29.7
30,p9ufs,32768,0,30.1
30,p9ufs,32768,1,29.6
30,p9ufs,32768,2,29.7
30,p9ufs,32768,3,29.2
30,p9ufs,32768,4,30.0
30,p9ufs,16384,0,29.6
30,p9ufs,16384,1,29.1
30,p9ufs,16384,2,30.3
30,p9ufs,16384,3,30.0
30,p9ufs,16384,4,30.4
30,p9ufs,8192,0,29.3
30,p9ufs,8192,1,29.9
30,p9ufs,8192,2,30.7
30,p9ufs,8192,3,29.3
30,p9ufs,8192,4,29.7
30,p9ufs,4096,0,29.9
30,p9ufs,4096,1,29.2
30,p9ufs,4096,2,30.2
30,p9ufs,4096,3,29.9
30,p9ufs,4096,4,28.2
30,p9ufs,1024,0,8.1
30,p9ufs,1024,1,7.7
30,p9ufs,1024,2,7.6
30,p9ufs,1024,3,7.4
30,p9ufs,1024,4,8.1
30,p9ufs,512,0,3.9
30,p9ufs,512,1,3.8
30,p9ufs,512,2,3.8
30,p9ufs,512,3,3.8
30,p9ufs,512,4,3.7
30,npfs,131072,0,-1
30,npfs,131072,1,-1
30,npfs,131072,2,-1
30,npfs,131072,3,-1
30,npfs,131072,4,-1
30,npfs,65536,0,-1
30,npfs,65536,1,-1
30,npfs,65536,2,-1
30,npfs,65536,3,-1
30,npfs,65536,4,-1
30,npfs,32768,0,-1
30,npfs,32768,1,-1
30,npfs,32768,2,-1
30,npfs,32768,3,-1
30,npfs,32768,4,-1
30,npfs,16384,0,-1
30,npfs,16384,1,-1
30,npfs,16384,2,-1
30,npfs,16384,3,-1
30,npfs,16384,4,-1
30,npfs,8192,0,-1
30,npfs,8192,1,-1
30,npfs,8192,2,-1
30,npfs,8192,3,-1
30,npfs,8192,4,-1
30,npfs,4096,0,-1
30,npfs,4096,1,-1
30,npfs,4096,2,-1
30,npfs,4096,3,-1
30,npfs,4096,4,-1
30,npfs,1024,0,-1
30,npfs,1024,1,-1
30,npfs,1024,2,-1
30,npfs,1024,3,-1
30,npfs,1024,4,-1
30,npfs,512,0,-1
30,npfs,512,1,-1
30,npfs,512,2,-1
30,npfs,512,3,-1
30,npfs,512,4,-1
30,cpu,131072,0,-1
30,cpu,131072,1,-1
30,cpu,131072,2,-1
30,cpu,131072,3,-1
30,cpu,131072,4,-1
30,cpu,65536,0,-1
30,cpu,65536,1,-1
30,cpu,65536,2,-1
30,cpu,65536,3,-1
30,cpu,65536,4,-1
30,cpu,32768,0,-1
30,cpu,32768,1,-1
30,cpu,32768,2,-1
30,cpu,32768,3,-1
30,cpu,32768,4,-1
30,cpu,16384,0,-1
30,cpu,16384,1,-1
30,cpu,16384,2,-1
30,cpu,16384,3,-1
30,cpu,16384,4,-1
30,cpu,8192,0,-1
30,cpu,8192,1,-1
30,cpu,8192,2,-1
30,cpu,8192,3,-1
30,cpu,8192,4,-1
30,cpu,4096,0,-1
30,cpu,4096,1,-1
30,cpu,4096,2,-1
30,cpu,4096,3,-1
30,cpu,4096,4,-1
30,cpu,1024,0,-1
30,cpu,1024,1,-1
30,cpu,1024,2,-1
30,cpu,1024,3,-1
30,cpu,1024,4,-1
30,cpu,512,0,-1
30,cpu,512,1,-1
30,cpu,512,2,-1
30,cpu,512,3,-1
30,cpu,512,4,-1
33,npfs,131072,0,183
34,npfs,131072,0,210.0
34,npfs,131072,1,209.0
34,npfs,131072,2,188.0
34,npfs,131072,3,197.0
34,npfs,131072,4,187.0
34,npfs,65536,0,191.0
34,npfs,65536,1,187.0
34,npfs,65536,2,191.0
34,npfs,65536,3,190.0
34,npfs,65536,4,198.0
34,npfs,32768,0,167.0
34,npfs,32768,1,178.0
34,npfs,32768,2,179.0
34,npfs,32768,3,163.0
34,npfs,32768,4,160.0
34,npfs,16384,0,125.0
34,npfs,16384,1,124.0
34,npfs,16384,2,108.0
34,npfs,16384,3,125.0
34,npfs,16384,4,122.0
34,npfs,8192,0,72.1
34,npfs,8192,1,73.0
34,npfs,8192,2,72.9
34,npfs,8192,3,68.7
34,npfs,8192,4,71.6
34,npfs,4096,0,45.0
34,npfs,4096,1,42.0
34,npfs,4096,2,43.3
34,npfs,4096,3,41.3
34,npfs,4096,4,45.4
34,npfs,1024,0,9.2
34,npfs,1024,1,8.9
34,npfs,1024,2,8.2
34,npfs,1024,3,7.9
34,npfs,1024,4,8.9
34,npfs,512,0,4.9
34,npfs,512,1,4.7
34,npfs,512,2,5.3
34,npfs,512,3,4.9
34,npfs,512,4,4.7
35,virtio,131072,0,757.0
35,virtio,131072,1,807.0
35,virtio,131072,2,785.0
35,virtio,131072,3,817.0
35,virtio,131072,4,657.0
35,virtio,65536,0,569.0
35,virtio,65536,1,624.0
35,virtio,65536,2,624.0
35,virtio,65536,3,655.0
35,virtio,65536,4,594.0
35,virtio,32768,0,449.0
35,virtio,32768,1,447.0
35,virtio,32768,2,467.0
35,virtio,32768,3,446.0
35,virtio,32768,4,396.0
35,virtio,16384,0,256.0
35,virtio,16384,1,268.0
35,virtio,16384,2,331.0
35,virtio,16384,3,261.0
35,virtio,16384,4,328.0
35,virtio,8192,0,181.0
35,virtio,8192,1,155.0
35,virtio,8192,2,180.0
35,virtio,8192,3,144.0
35,virtio,8192,4,146.0
35,virtio,4096,0,78.2
35,virtio,4096,1,78.6
35,virtio,4096,2,98.8
35,virtio,4096,3,72.7
35,virtio,4096,4,93.7
35,virtio,1024,0,22.6
35,virtio,1024,1,23.3
35,virtio,1024,2,18.3
35,virtio,1024,3,20.5
35,virtio,1024,4,26.7
35,virtio,512,0,12.8
35,virtio,512,1,12.2
35,virtio,512,2,9.1
35,virtio,512,3,13.4
35,virtio,512,4,13.2
35,npfs,131072,0,190.0
35,npfs,131072,1,220.0
35,npfs,131072,2,184.0
35,npfs,131072,3,204.0
35,npfs,131072,4,208.0
35,npfs,65536,0,198.0
35,npfs,65536,1,181.0
35,npfs,65536,2,184.0
35,npfs,65536,3,211.0
35,npfs,65536,4,166.0
35,npfs,32768,0,152.0
35,npfs,32768,1,166.0
35,npfs,32768,2,163.0
35,npfs,32768,3,158.0
35,npfs,32768,4,191.0
35,npfs,16384,0,124.0
35,npfs,16384,1,118.0
35,npfs,16384,2,125.0
35,npfs,16384,3,108.0
35,npfs,16384,4,95.3
35,npfs,8192,0,55.9
35,npfs,8192,1,68.3
35,npfs,8192,2,71.9
35,npfs,8192,3,73.8
35,npfs,8192,4,73.7
35,npfs,4096,0,44.8
35,npfs,4096,1,38.7
35,npfs,4096,2,39.6
35,npfs,4096,3,37.0
35,npfs,4096,4,44.2
35,npfs,1024,0,9.5
35,npfs,1024,1,9.6
35,npfs,1024,2,10.5
35,npfs,1024,3,9.0
35,npfs,1024,4,9.6
35,npfs,512,0,5.1
35,npfs,512,1,4.7
35,npfs,512,2,4.7
35,npfs,512,3,4.8
35,npfs,512,4,4.7
35,p9ufs,131072,0,189.0
35,p9ufs,131072,1,205.0
35,p9ufs,131072,2,197.0
35,p9ufs,131072,3,218.0
35,p9ufs,131072,4,196.0
35,p9ufs,65536,0,197.0
35,p9ufs,65536,1,204.0
35,p9ufs,65536,2,178.0
35,p9ufs,65536,3,228.0
35,p9ufs,65536,4,196.0
35,p9ufs,32768,0,138.0
35,p9ufs,32768,1,131.0
35,p9ufs,32768,2,135.0
35,p9ufs,32768,3,158.0
35,p9ufs,32768,4,142.0
35,p9ufs,16384,0,102.0
35,p9ufs,16384,1,120.0
35,p9ufs,16384,2,111.0
35,p9ufs,16384,3,120.0
35,p9ufs,16384,4,101.0
